Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,AnalystRatingStrongBuy,AnalystRatingBuy,AnalystRatingHold,AnalystRatingSell,AnalystRatingStrongSell,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
ANSS,Common Stock,ANSYS Inc,"Ansys, Inc. is an American company based in Canonsburg, Pennsylvania. It develops and markets multiphysics engineering simulation software for product design, testing and operation and offers its products and services to customers worldwide.",1013462,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2600 ANSYS DRIVE, SOUTHPOINTE, CANONSBURG, PA, US",December,2024-03-31,28905902000,677695000,66.62,2.027,61.97,None,None,4.97,25.64,0.195,0.0929,0.0497,0.0853,2227107000,1884284000,4.97,-0.653,-0.084,343.39,1,3,9,1,0,66.62,33.44,12.36,5.26,12.49,36.74,1.155,364.31,258.01,333.02,317.67,87300000,None,None
AAPL,Common Stock,Apple Inc,"Apple Inc. is an American multinational technology company that specializes in consumer electronics, computer software, and online services. Apple is the world's largest technology company by revenue (totalling $274.5 billion in 2020) and, since January 2021, the world's most valuable company. As of 2021, Apple is the world's fourth-largest PC vendor by unit sales, and fourth-largest smartphone manufacturer. It is one of the Big Five American information technology companies, along with Amazon, Google, Microsoft, and Facebook.",320193,NASDAQ,USD,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,"ONE INFINITE LOOP, CUPERTINO, CA, US",September,2024-03-31,2913172193000,129629004000,29.59,2.223,4.837,0.96,0.0053,6.42,24.54,0.263,0.307,0.221,1.472,381623009000,170782000000,6.42,0.007,-0.043,203.45,9,17,14,2,0,29.59,28.57,7.65,38.74,7.63,21.89,1.264,199.1,163.86,175.92,180.98,15334100000,2024-05-16,2024-05-10
AMAT,Common Stock,Applied Materials Inc,"Applied Materials, Inc. is an American corporation that supplies equipment, services and software for the manufacture of semiconductor (integrated circuit) chips for electronics, flat panel displays for computers, smartphones and televisions, and solar products. The company also supplies equipment to produce coatings for flexible electronics, packaging and other applications. The company is headquartered in Santa Clara, California, in Silicon Valley.",6951,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"3050 BOWERS AVE, SANTA CLARA, CA, US",October,2024-04-30,182891397000,8105000000,25.39,2.483,21.98,1.36,0.0072,8.7,31.8,0.276,0.288,0.157,0.452,26500999000,11993000000,8.7,0.108,0.002,232.15,8,17,8,1,0,25.39,25.19,6.52,9.91,6.46,19.5,1.579,225.07,128.48,206.28,169.32,827975000,2024-06-13,2024-05-22
ASML,Common Stock,ASML Holding NV ADR,"ASML Holding NV develops, produces, markets, sells and services advanced semiconductor equipment systems consisting of lithography, metrology and inspection related systems for memory and logic chip manufacturers. The company is headquartered in Veldhoven, the Netherlands.",937966,NASDAQ,USD,USA,TECHNOLOGY,"SPECIAL INDUSTRY MACHINERY, NEC","DE RUN 6501, DR VELDHOVEN, NL",December,2024-03-31,377314869000,8929200000,49.01,2.811,35.06,4.65,0.0069,19.51,1.194,0.272,0.263,0.139,0.603,26102301000,10700100000,19.51,-0.372,-0.216,1068.96,4,5,2,0,0,49.01,44.05,13.98,26.27,13.85,38.25,1.128,1054.12,560.39,935.97,777.98,394590000,2024-05-07,2024-04-26
AZN,Common Stock,AstraZeneca PLC ADR,"AstraZeneca PLC discovers, develops, manufactures and markets prescription drugs in the areas of oncology, cardiovascular, renal and metabolism, respiratory, infections, neuroscience and gastroenterology worldwide. The company is headquartered in Cambridge, the United Kingdom.",901832,NASDAQ,USD,USA,LIFE SCIENCES,PHARMACEUTICAL PREPARATIONS,"1 FRANCIS CRICK AVENUE, CAMBRIDGE BIOMEDICAL CAMPUS, CAMBRIDGE, GB",December,2024-03-31,244589281000,15803000000,38.69,0.886,24.17,2.9,0.0185,2.03,2.551,0.133,0.261,0.0704,0.173,47610999000,35732000000,2.03,0.207,0.165,82.74,4,6,1,0,0,38.69,16.31,4.665,5.46,5.2,17.74,0.164,79.36,59.55,71.77,67.58,3100470000,2024-03-25,2024-02-22
TEAM,Common Stock,Atlassian Corp Plc,"Atlassian Corporation Plc designs, develops, licenses and maintains various software products worldwide. The company is headquartered in Sydney, Australia.",1650372,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"350 BUSH STREET, FLOOR 13, SAN FRANCISCO, CA, US",June,2024-03-31,43953922000,-30605000,None,2.674,4.354,None,None,-0.62,16.12,-0.039,0.015,-0.0142,-0.189,4166111000,2910074000,-0.62,1.722,0.299,241.26,8,10,12,0,0,-,65.79,13.76,59.2,13.68,-344.49,0.671,258.69,156.44,189.36,201.66,159286000,None,None
ADSK,Common Stock,Autodesk Inc,"Autodesk, Inc. is an American multinational software corporation that makes software products and services for the architecture, engineering, construction, manufacturing, media, education, and entertainment industries. Autodesk is headquartered in San Rafael, California.",769397,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"111 MCINNIS PKWY, SAN RAFAEL, CA, US",January,2024-01-31,45968196000,1219000000,51.29,1.422,8.67,None,None,4.19,25.69,0.165,0.214,0.0729,0.604,5497000000,4583000000,4.19,-0.034,0.115,283.35,8,8,9,1,0,51.29,29.41,9.22,27.33,9.29,40.31,1.454,279.53,192.01,231.47,228.02,213915000,None,2005-03-22
BKR,Common Stock,Baker Hughes Co,"Baker Hughes Company is an American international industrial service company and one of the world's largest oil field services companies. The company provides the oil and gas industry with products and services for oil drilling, formation evaluation, completion, production and reservoir consulting. Baker Hughes is headquartered in Houston.",1701605,NASDAQ,USD,USA,TECHNOLOGY,OIL & GAS FIELD MACHINERY & EQUIPMENT,"17021 ALDINE WESTFIELD ROAD, HOUSTON, TX, US",December,2024-03-31,32515987000,3895000000,18.08,0.96,15.43,0.8,0.0259,1.79,26.08,0.0695,0.103,0.0484,0.122,26208000000,4431000000,1.79,-0.211,0.123,40.82,6,16,5,0,0,18.08,16.45,1.302,2.147,1.426,9.19,1.434,36.85,26.29,32.9,33.19,997998000,2024-05-16,2024-05-03
BIIB,Common Stock,Biogen Inc,"Biogen Inc. is an American multinational biotechnology company based in Cambridge, Massachusetts, specializing in the discovery, development, and delivery of therapies for the treatment of neurological diseases to patients worldwide.",875045,NASDAQ,USD,USA,LIFE SCIENCES,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","225 BINNEY STREET, CAMBRIDGE, MA, US",December,2024-03-31,31712481000,2519800000,27.26,6.24,104.48,None,None,7.99,66.69,0.121,0.273,0.0486,0.0805,9663100000,7895100000,7.99,0.011,-0.07,283.92,8,17,11,0,0,27.26,13.0,2.929,1.946,3.568,17.22,-0.007,319.76,189.44,212.96,238.34,145597000,None,None
BKNG,Common Stock,Booking Holdings Inc,"Booking Holdings Inc. is an American travel technology company organized in Delaware and based in Norwalk, Connecticut, that owns and operates several travel fare aggregators and travel fare metasearch engines including namesake and flagship Booking.com, Priceline.com, Agoda.com, Kayak.com, Cheapflights, Rentalcars.com, Momondo, and OpenTable.",1075531,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,TRANSPORTATION SERVICES,"800 CONNECTICUT AVE, NORWALK, CT, US",December,2024-03-31,128766738000,6808000000,28.57,1.009,-118.94,8.75,0.0092,132.84,623.53,0.218,0.184,0.148,2.257,22002000000,14625000000,132.84,2.196,0.169,4047.81,5,18,12,0,0,28.57,20.16,5.65,34.36,5.75,17.45,1.4,3908.0,2450.66,3600.43,3351.48,33927500,2024-06-28,2024-06-07
AVGO,Common Stock,Broadcom Inc,"Broadcom Inc. is an American designer, developer, manufacturer and global supplier of a wide range of semiconductor and infrastructure software products. Broadcom's product offerings serve the data center, networking, software, broadband, wireless, and storage and industrial markets.",1730168,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"1320 RIDDER PARK DRIVE, SAN JOSE, CA, US",October,2024-01-31,652422611000,20404001000,52.36,1.56,59.22,19.7,0.0149,26.89,91.77,0.299,0.318,0.0765,0.247,38864998000,24947000000,26.89,1.881,0.164,1533.04,7,22,6,0,0,52.36,28.65,16.03,8.86,17.67,34.54,1.262,1445.4,761.32,1322.84,1094.96,463421000,2024-03-29,2024-03-20
CDNS,Common Stock,Cadence Design Systems Inc,"Cadence Design Systems, Inc., headquartered in San Jose, California, is an American multinational computational software company. The company produces software, hardware and silicon structures for designing integrated circuits, systems on chips (SoCs) and printed circuit boards.",813672,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"2655 SEELY AVENUE BLDG 5, SAN JOSE, CA, US",December,2024-03-31,80083599000,1358659000,76.84,2.845,13.11,None,None,3.83,15.13,0.257,0.257,0.139,0.322,4077399000,3190095000,3.83,0.022,-0.012,329.67,5,7,4,0,0,76.84,51.55,20.39,24.49,20.29,56.7,1.06,327.36,217.77,295.99,271.76,272134000,None,None
CDW,Common Stock,CDW Corp,"CDW Corporation, headquartered in Lincolnshire, Illinois, is a provider of technology products and services for business, government and education.",1402057,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-CATALOG & MAIL-ORDER HOUSES,"200 N MILWAUKEE AVENUE, VERNON HILLS, IL, US",December,2024-03-31,31054002000,2005000000,28.81,1.53,15.91,2.42,0.0107,8.02,157.45,0.0516,0.0688,0.0837,0.588,21145600000,4686600000,8.02,-0.054,-0.045,249.62,3,5,4,0,0,28.81,22.99,1.527,15.98,1.771,19.44,1.089,262.68,165.91,239.03,223.46,134398000,2024-06-11,2024-05-23
CHTR,Common Stock,Charter Communications Inc,"Charter Communications, Inc., is an American telecommunications and mass media company with services branded as Charter Spectrum.",1091667,NASDAQ,USD,USA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,"400 ATLANTIC STREET, STAMFORD, CT, US",December,2024-03-31,39098384000,21126001000,8.79,0.277,82.44,None,None,30.89,370.45,0.085,0.226,0.0531,0.376,54633001000,24485000000,30.89,0.135,0.002,334.76,3,5,16,2,0,8.79,7.61,0.689,3.393,2.466,6.49,0.973,458.3,236.08,272.76,357.8,144030000,None,None
CTAS,Common Stock,Cintas Corporation,"Cintas Corporation is an American corporation headquartered in Cincinnati, Ohio, which provides a range of products and services to businesses including uniforms, mats, mops, cleaning and restroom supplies, first aid and safety products, fire extinguishers and testing, and safety courses.",723254,NASDAQ,USD,USA,MANUFACTURING,"MEN'S & BOYS' FURNISHGS, WORK CLOTHG, & ALLIED GARMENTS","6800 CINTAS BLVD, P O BOX 625737, CINCINNATI, OH, US",May,2024-02-29,69279949000,2299569000,47.16,3.795,41.74,5.2,0.0079,14.48,92.52,0.16,0.216,0.143,0.382,9410151000,3632246000,14.48,0.223,0.099,708.9,4,6,8,0,1,47.16,41.15,7.21,16.02,7.48,28.98,1.262,705.74,461.2,670.98,581.83,101463000,2024-06-14,2024-05-14
CSCO,Common Stock,Cisco Systems Inc,"Cisco Systems, Inc. is an American multinational technology conglomerate headquartered in San Jose, California, in the center of Silicon Valley. Cisco develops, manufactures and sells networking hardware, software, telecommunications equipment and other high-technology services and products. Through its numerous acquired subsidiaries, such as OpenDNS, Webex, Jabber and Jasper, Cisco specializes in specific tech markets, such as the Internet of Things (IoT), domain security and energy management. On January 25, 2021, Cisco reincorporated in Delaware.",858877,NASDAQ,USD,USA,TECHNOLOGY,COMPUTER COMMUNICATIONS EQUIPMENT,"170 WEST TASMAN DR, SAN JOSE, CA, US",July,2024-04-30,187017347000,16684000000,15.68,3.432,11.35,1.57,0.0345,2.96,13.65,0.219,0.219,0.084,0.275,55364002000,35753000000,2.96,-0.41,-0.128,54.79,5,3,20,1,0,15.68,12.8,3.431,4.247,3.186,10.03,0.857,56.86,45.47,48.38,50.88,4028810000,2024-07-24,2024-07-05
CCEP,Common Stock,Coca-Cola European Partners PLC,"Coca-Cola Europacific Partners PLC produces, distributes and sells a variety of ready-to-drink non-alcoholic beverages. The company is headquartered in Uxbridge, the United Kingdom.",1650107,NASDAQ,USD,USA,MANUFACTURING,BOTTLED & CANNED SOFT DRINKS & CARBONATED WATERS,"PEMBERTON HOUSE, BAKERS ROAD, UXBRIDGE, GB",December,2023-12-31,33885880000,2881000000,18.6,1.866,17.37,1.84,0.0283,3.93,39.87,0.0912,0.126,0.0502,0.216,18301999000,6232000000,3.93,-0.035,0.032,79.35,3,11,2,0,0,18.6,15.97,1.704,3.639,2.272,13.17,0.701,75.44,54.56,70.96,65.71,460284000,2024-05-23,2024-05-09
CTSH,Common Stock,Cognizant Technology Solutions Corp Class A,"Cognizant is an American multinational technology company that provides business consulting, information technology and outsourcing services. It is headquartered in Teaneck, New Jersey, United States.",1058290,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-COMPUTER PROGRAMMING SERVICES,"500 FRANK W. BURR BLVD., TEANECK, NJ, US",December,2024-03-31,33968636000,3422000000,16.38,1.204,27.14,1.18,0.0176,4.17,38.45,0.108,0.151,0.101,0.16,19300999000,7039000000,4.17,-0.036,-0.011,76.64,3,3,21,2,0,16.38,15.06,1.782,2.607,1.714,9.8,1.082,79.75,60.12,69.51,71.36,497199000,2024-05-29,2024-05-17
CMCSA,Common Stock,Comcast Corp,"Comcast Corporation is an American telecommunications conglomerate headquartered in Philadelphia, Pennsylvania. It is the second-largest broadcasting and cable television company in the world by revenue (behind AT&T), the largest pay-TV company, the largest cable TV company and largest home Internet service provider in the United States, and the nation's third-largest home telephone service provider. Comcast provides services to U.S. residential and commercial customers in 40 states and in the District of Columbia. As the parent company of the international media company NBCUniversal since 2011, Comcast is a producer of feature films and television programs intended for theatrical exhibition and over-the-air and cable television broadcast, respectively.",1166691,NASDAQ,USD,USA,TECHNOLOGY,CABLE & OTHER PAY TELEVISION SERVICES,"ONE COMCAST CENTER, PHILADELPHIA, PA, US",December,2024-03-31,151216701000,37586002000,10.22,0.642,20.98,1.18,0.0322,3.77,30.04,0.126,0.193,0.0561,0.181,121939001000,83214000000,3.77,0.066,0.012,48.04,5,12,14,0,0,10.22,9.37,1.286,1.891,2.034,6.36,0.99,46.76,36.43,40.2,42.77,3914180000,2024-07-24,2024-07-03
CEG,Common Stock,Constellation Energy Corp,"Constellation Energy Corporation is an energy producer in the United States. The company is headquartered in Baltimore, Maryland.",1868275,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,ELECTRIC SERVICES,"1310 POINT STREET, BALTIMORE, MD, US",December,2024-03-31,72702648000,5007000000,30.75,3.631,35.55,1.199,0.0061,7.5,73.42,0.102,0.133,0.0306,0.208,23513999000,2227000000,7.5,8.59,-0.186,219.37,2,6,5,0,0,30.75,25.77,2.424,5.53,2.781,14.56,0.753,236.3,81.88,194.01,139.11,315235000,2024-06-10,2024-05-28
CPRT,Common Stock,Copart Inc,"Copart, Inc. or simply Copart is a global provider of online vehicle auction and remarketing services to automotive resellers such as insurance, rental car, fleet and finance companies in 11 countries: the US, Canada, the UK, Germany, Ireland, Brazil, Spain, Dubai, Bahrain, Oman and Finland.",900075,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-AUTO DEALERS & GASOLINE STATIONS,"14185 DALLAS PARKWAY, SUITE 300, DALLAS, TX, US",July,2024-04-30,51983340000,1780915000,37.78,3.118,7.45,None,None,1.43,4.343,0.333,0.388,0.14,0.217,4165415000,1769369000,1.43,0.083,0.103,59.5,3,4,4,0,0,37.78,34.01,13.11,7.85,12.49,28.89,1.221,58.58,42.41,55.47,49.51,962298000,None,None
CSGP,Common Stock,CoStar Group Inc,"CoStar Group, Inc. provides online market information, analysis and services to the commercial real estate, hospitality, residential and related professional industries in the United States, Canada, Europe, Asia Pacific and Latin America. The company is headquartered in Washington, the District of Columbia.",1057352,NASDAQ,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1331 L STREET, NW, WASHINGTON, DC, US",December,2024-03-31,35101114000,282500000,119.35,8.64,17.94,None,None,0.72,6.23,0.117,-0.0652,0.0119,0.0411,2527000000,1768391000,0.72,-0.921,0.123,104.17,5,7,3,0,0,119.35,227.27,15.03,5.03,13.36,84.12,0.841,100.38,67.35,90.94,84.12,408485000,None,None
COST,Common Stock,Costco Wholesale Corp,"Costco Wholesale Corporation (doing business as Costco Wholesale and also known simply as Costco) is an American multinational corporation which operates a chain of membership-only (needing a membership to shop there) big-box retail stores. As of 2020, Costco was the fifth largest retailer in the world, and the world's largest retailer of choice and prime beef, organic foods, rotisserie chicken, and wine as of 2016.",909832,NASDAQ,USD,USA,TRADE & SERVICES,RETAIL-VARIETY STORES,"999 LAKE DRIVE, ISSAQUAH, WA, US",August,2024-02-29,359118471000,11072000000,52.92,5.15,46.8,4.08,0.0057,15.3,560.61,0.0273,0.0353,0.0835,0.312,248828002000,30095000000,15.3,0.188,0.057,787.75,8,17,12,0,0,52.92,46.08,1.304,15.62,1.3,28.32,0.759,816.87,487.12,742.54,652.9,443504000,2024-05-10,2024-04-25
CRWD,Common Stock,Crowdstrike Holdings Inc,"CrowdStrike Holdings, Inc. provides cloud solutions for endpoint and cloud workload protection in the United States, Australia, Germany, India, Israel, Romania, and the United Kingdom. The company is headquartered in Sunnyvale, California.",1535527,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"150 MATHILDA PLACE, SUITE 300, SUNNYVALE, CA, US",January,2024-01-31,85469774000,105959000,901.21,1.339,9.53,None,None,0.39,12.8,0.0292,0.0351,-0.0002,0.0474,3055555000,1640005000,0.39,0,0.326,399.03,16,31,3,0,0,901.21,78.12,24.46,32.45,23.59,245.28,1.075,365,139.37,316.94,250.94,230670000,None,None
CSX,Common Stock,CSX Corporation,"CSX Corporation is an American holding company focused on rail transportation and real estate in North America, among other industries. Based in Richmond, Virginia, USA after the merger, in 2003 the CSX Corporation headquarters moved to Jacksonville, Florida.",277948,NASDAQ,USD,USA,ENERGY & TRANSPORTATION,"RAILROADS, LINE-HAUL OPERATING","500 WATER STREET, 15TH FLOOR, JACKSONVILLE, FL, US",December,2024-03-31,66037535000,7134000000,18.46,2.034,6.44,0.45,0.0142,1.83,7.38,0.247,0.371,0.0818,0.29,14631999000,7390000000,1.83,-0.05,-0.007,39.63,6,13,8,0,0,18.46,17.04,4.436,5.16,5.64,11.43,1.189,39.99,28.84,35.02,33.58,1954930000,2024-06-14,2024-05-31
DDOG,Common Stock,Datadog Inc,"Datadog, Inc. provides an analytics and monitoring platform for developers, information technology operations teams, and business users in the cloud in North America and internationally. The company is headquartered in New York, New York.",1561550,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"620 EIGHTH AVENUE, 45TH FLOOR, NEW YORK, NY, US",December,2024-03-31,41344078000,52546000,353.14,1.186,6.59,None,None,0.35,6.9,0.0511,0.0196,0.0023,0.0621,2257898000,1328623000,0.35,0,0.269,146.99,8,22,12,0,0,353.14,83.33,19.88,20.89,19.09,366.09,1.136,138.61,77.81,123.15,112.22,308456000,None,None
